172705;3.865000;964.148987;108.875381
31409;2.242000;942.931030;107.314972
200110;9.865000;877.786011;101.584351
32430;3.149000;826.698975;66.825867
30644;90.222000;902.333984;496.277985
59689;1.918000;806.265991;73.772659
286095;56.715000;854.859985;455.787506
12167;32.462002;830.208984;431.335480
180463;2.923000;800.070984;67.124397
48290;47.926998;843.538025;445.732513
235046;75.334999;869.304993;472.320007
21460;3.445000;793.896973;114.975433
262737;4.974000;795.260010;79.518661
158585;3.168000;786.901978;81.895622
986;33.053001;811.098022;422.075500
12157;2.229000;777.966003;73.979462
115415;21.164000;793.403992;407.283997
274502;1.991000;770.591003;60.207348
164469;35.820000;800.731995;418.276001
299333;1.844000;765.979980;52.621162
167454;1.594000;765.392029;53.262112
294090;1.527000;764.793030;67.178604
224254;1.717000;764.737000;41.404236
25792;22.589001;782.940002;104.469788
105810;3.102000;763.385010;70.449234
125473;72.009003;831.296021;451.652527
192568;210.725998;969.297974;590.011963
290146;81.182999;835.192993;458.187988
245861;90.010002;843.442993;466.726501
41318;120.329002;871.885986;496.107483
75007;98.821999;850.015991;474.419006
297439;23.700001;773.536987;398.618500
132093;12.698000;759.916016;142.448425
169512;3.651000;748.312988;111.817001
142350;64.982002;806.706970;435.844482
39164;2.439000;739.393982;60.368721
209123;2.205000;739.140991;72.141991
172652;106.244003;834.078979;470.161499
181963;2.651000;728.742004;47.952415
18605;4.004000;729.921021;71.671478
74144;97.219002;820.390991;458.804993
110567;73.783997;795.599976;434.691986
127819;92.439003;813.645020;453.042023
113502;3.010000;723.513000;78.969521
233969;3.794000;723.768005;66.190308
226944;2.379000;722.146973;51.934814
73697;3.826000;723.130005;65.228233
147623;59.084999;776.952026;418.018524
165538;91.411003;808.963013;450.187012
95796;11.419000;728.731995;116.052490
